common_names,other names,country_of_origin
Bouchalès,"Aubet, Bouchales A Buzet, Bouchales Chedy, Bouchalets, Bouchares, Bouchedey, Boucheres, Bouissalet, Bouscales, Bouscares, Bouyssalet, Capbreton Rouge, Cayla, Crapput, Craput, Cujas, Esparbasque, Grappu, Grappu De La Dordogne, Grapput, Gros Bouchales, Gros Bouchares, Gros De Judith, Gros Grappu, Gros Marthy, Gros Marty, Gros Maure, Gros Mol, Jeanjean, Negrasse, Picardan, Picardan Noir, Piquardan, Plant Touzan, Prolongeau, Prueyras, Queuefort, Toussan, Touzan.","France, Gironde"
Bourrisquou,"Bourrignou, Bourriscou, Bourrisquou De Romanet, Bourrisquou De Romani, Mourrisquou De Romani, Romanet.",France
Bouteillan Noir,"Bouteillan A Gros Grain, Boutelion Noir, Caian, Callion Nero, Cargomuou, Cayau, Esfouiral, Esfouiras De Roquemaure, Fouiral, Mentone, Moulas, Petit Bouteillan, Plant De Psalmodi, Psalmodi Noir, Psalmody, Quagliana, Quagliano Nero, Quaian, Quajan, Quagliano, Qualiano, Sigotier, Sigoyer.",Italy
Bovale Grande,"Bova Murru, Bovale, Bovale Di Spagna, Bovale Grosso, Bovale Mannu, Bovale Murru, Bovali Mannu, Maraiola Maggiore, Mostaia, Nieddera, Tintarella, Tintiglia, Tintilia, Tintillosa, Tintillu, Tintirella, Zinzillosa.","Italy, Sardinia"
Bovale Sardo,"Graciano, Alicante, Bastardo Nero, Bois Dur, Bordelais, Bovale, Bovale Piccolo, Bovale Piticco, Bovaleddo, Bovaleddu, Bovali Mannu, Bualeddu, Cadelanisca, Cagliunari, Cagniulari, Cagnolari Nero, Cagnonale, Cagnorali Nero, Cagnovali, Cagnovali Nero, Cagnulari, Cagnulari Bastardo, Cagnulari Sardo, Cagnulatu, Calda Reio, Caldareddhu, Caldareddu, Caldarello, Cardanissia, Cardinissia, Cargo Muol, Carrixa, Casca, Cendron, Charge Mulet, Courouillade, Couthurier, Couturier, Drug, Enfarine, Graciana, Graciano 15-5, Graciano Tinto, Gros Negrette, Grosse Negrette, Himrisnky, Jerusano, Juan Ibanez, Karis, Marastel, Maristeddo, Matarou, Materou, Minostello, Minustello, Minustellu, Minustillu, Monastel, Monasteou, Monaster, Monastrel, Monastrell Menudo, Monastrell Verdadero, Monestaou, Monestel, Moraiola Minore, Morastel, Morastell, Morestel, Moristell, Morrastel, Morrastel Tantot, Moura, Mourastel, Mouroustel, Mourrastel, Murastellu, Muristeddo, Muristeddu, Muristellu, Negrette De Montauban, Negrette De Pays, Nieddu Prunizza, Perpignan, Perpignanou Bois Dur, Perpigne, Plant De Ledenon, Tanat Gris, Tannat Bordelais, Tannat Gris, Tinta, Tinta De Fontes, Tinta Do Padre Antonio, Tinta Fontes, Tinta Mencida, Tinta Menuda, Tinta Miuda, Tinta Miuda De Fontes, Tintilho, Tintilla, Tintilla De Rota, Tintillo, Tintillo Alicante, Tinto, Torrentes, Uva Cagnelata, Verdadero, Xeres, Xerez, Zinzillosa.",Spain
Bracciola Nera,"Barciuola, Bracciola, Bracciula, Bracciuola, Braciola, Braciuola, Brassola, Brassora, Brazolata, Rappalunga.","Italy, Liguria"
Brachetto del Piemonte,"Brachetto, Borgogna, Bracchetto, Bracelet, Brachet De Nice, Brachetto D' Acqui, Brachetto D'Alexandrie, Brachetto Di Acqui, Brachetto Di Montabone, Brachetto Du Piemont, Braquet Des Jardins, Calitor, Moscato Nero.","Italy, Piedmont"
Brancellao,"Alvarelhao, Albarello, Alvaralhao, Alvarelhao De Pe Branco, Alvarelhao De Vara Branca, Alvarelho, Alvarellao, Alvarello, Alvarello Gallego, Alvarelo, Alvarelyo, Avarilhao, Brancelhao, Brancelho, Brancello, Brencellao, Broncellao, Locaia, Pilongo, Pirrauvo, Pirruivo, Serradelo, Serradillo, Uva Gallega, Uva Negra, Varancelha, Verancelha.",Portugal
Braquet Noir,"Brachet, Brachetto, Bracke, Braquet, Bruquet, Calito Du Languedoc, Canseron.",France
Brugnola,NA,"Italy, Lombardy"
Brujidera,"Marufo, Abrunhal, Barrete De Padre, Brujidero, Brujiguero, Colgadera, Crujideiro, Crujidera, Crujidero Di Spagna, Falso Mourisco, Lagrima Noir, Lamego, Lobo, Malvasia, Marouco, Marufa, Marufo Roxo, Marujo, Moravia Dulce, Morisco Tinto, Morocco, Mourico, Mourisca, Mourisco, Mourisco Du Douro, Mourisco Nos Vinhos Verdes, Mourisco Preto, Mourisco Roxo, Mourisco Tinto, Olho De Rei, Rucial, Tinta Amarela Grossa, Tinta Do Caramelo, Tinta Grossa, Trujidera, Trujidero, Uva De Rei, Uva Rei.",Portugal
Brun Argenté,"Arzhente, Bakarezo, Bryun, Camarese, Camareze, Camarezo, Cameres Du Gard, Kamaredyu Gard, Kamarez, Madeleine, Vacarese, Vacareze Blanc, Vaccarese, Vaccareso, Vaccareze, Vakarez.",France
Brun Fourca,"Brun D'Aureol, Brun D'Auriol, Brun De Farnous, Brun Farnous, Brun Fourcat, Brun Tourcae, Brunfourka, Caula, Caula Noir De Vaucluse, Farnous, Floura, Flouron, Gros Taulier, Manconnet, Morrastel Fleuri, Morrastel Flourat, Moulan, Moulard, Moulau, Mourastel Flourat, Moureau, Mourrastel Fleuri, Mourrastel Floura, Mourrastel Flourat, Mouzeau, Mulon, Plant De Bordeaux, Plant Francais, Tinto Gallego.","France, Palette AOC"
Brunal,"Alfrocheiro, Albarin Frances, Albarin Negrin, Albarin Negro, Albarin Tinto, Albarinon, Alfrocheiro Preto, Alfrucheiro, Alfurcheiro, Baboso Negro, Bastardo Negro, Caino Gordo, Tinta Bastardinha, Tinta Francesa De Viseu, Tinta Francisca De Viseu, Tinto Serodo",Portugal
Brunello,"Sangiovese, Brunelletto, Brunello Di Montalcino, Calabrese, Cardisco, Chiantino, Cordisio, Cuocignola, Gabba Cani, Guarnacciola, Ingannacane, Lacrima, Lakhdari, Lambrusco, Lambrusco Mendoza, Maglioppa, Montepulciano, Montepulciano Primutico, Morellino, Morellino De Florence, Morellino Di Scansano, Morellone, Moscatale, Moscatele, Negretta, Nerino, Nerino Sanvicetro, Niella, Nielluccia, Nielluccio, Niellucciu, Pigniuolo Rosso, Pignolo, Pignolo Rosso, Pignuolo, Plant Romain, Primaticcio, Prugnolino Dolce, Prugnolo, Prugnolo Di Montepulciano, Prugnolo Dolce, Prugnolo Gentile, Prugnolo Gentile Di Montepulciano, Prugnolo Rosso, San Gioveto Grosso, San Montanino, San Quioveto, San Roveto, San Zoveto, Sancivetro, Sangineto, Sangiogheto, Sangiovese Crni, Sangiovese Dal Cannello Lungo, Sangiovese Dal Cannello Lungo Di Predappio, Sangiovese Di Lamole, Sangiovese Di Romagna, Sangiovese Dolce, Sangiovese Elba, Sangiovese Gentile, Sangiovese Grosso, Sangiovese Nostrano, Sangiovese Piccolo, Sangiovese Piccolo Precoce, Sangiovese Romagnolo, Sangiovese Toscano, Sangiovete, Sangioveto, Sangioveto Dell'Elba, Sangioveto Dolce, Sangioveto Grosso, Sangioveto Montanino, Sanvincetro, Sanxhoveze, Sanzoveto, Tabernello, Tignolo, Tignolo Sointovese, Tipsa, Toustain, Uva Abruzzi, Uva Canina, Uvetta",Italy
Bubbierasco,NA,"Italy, Piedmont"
Buket,"Bouquet, Bouket",Bulgaria
Busuioaca de Bohotin,"Muscat A Petits Grains Noirs, Black Frontignan, Busuioaca, Busuioaca De Bohotin, Busuioaca Roza De Bohotin, Busuoaca Neagra, Caillaba, Caillaba Noir, Cayabe, Caylor Noir Musque, Cerni Muskat, Fekete Muskotally, Frontignan Black, Frontignan Rot, Gaillaba, Gara Muscat, Gara Muskat, Jura Black Muscat, Kajyaba, Kayyaba, Mor Muscateller, Moscatel Galego, Moscatel Negro, Moscatel Tinto, Moscateller Nigra, Moscatello Nero, Moscato Greco Nero, Moscato Nero, Moschato Mavro, Muscat Caillaba, Muscat Calyaba, Muscat D'Eisenstadt, Muscat De Yura, Muscat Du Jura, Muscat Gaillaba, Muscat Kaillaba, Muscat Mavro, Muscat Modry, Muscat Nero De Spania, Muscat Noir, Muscat Noir A Petits Grains, Muscat Noir D'Eisenstadt, Muscat Noir Du Jura, Muscat Noir Ordinaire, Muscat Rouge, Muscat Violet, Muscat Violet De Madeira, Muscat Zerni, Muscateller, Muskat Cerni, Muskat Chernyi, Muskat Chernyi Kalyabskii, Muskat Kalyaba, Muskat Modry, Muskat Modry Malozrnny, Muskateller Blau, Muskateller Grau, Muskateller Schwarz, Muskateller Schwarzblau, Muskotally Kek, Noir De Thyra, Qara Muskat, Rother Frontignan, Schmeckende Schwarz, Schwarze Schmeckende, Schwarzer Muskateller, Schwarzer Weihrauch, Tamaioasa Vanata De Bohotin, Weihrauch Schwarz.",Romania
Caberinta,Gargiulo,Argentina
Cabernet Carbon,Freiburg,Germany
Cabernet Carol,Freiburg,Germany
Cabernet Colonjes,Valentin Blattner,Switzerland
Cabernet Cortis,Freiburg,Germany
Cabernet Cubin,Weinsberg,Germany
Cabernet Dorio,Weinsberg,Germany
Cabernet Dorsa,Weinsberg,Germany
Cabernet Franc,"Acheria, Ardounet, Aroia, Arrouya, Auxquels, Baro, Beron, Bidure, Bordeaux, Bordo, Bordo Magher, Boubet, Bouchet, Bouchet Franc, Bouchet Saint-Emilion, Bouchy, Breton, Burdeas Tinto, Cabernet, Cabernet Aunis, Cabernet Bresciano, Cabernet D'Aunis, Cabernet Franc Blauer, Cabernet Franc Crni, Cabernet Franc Nero, Cabernet Franc Noir, Cabernet Francese, Cabernet Franco, Cabernet Frank, Cabernet Gris, Cabonet, Cabrunet, Capbreton, Capbreton Rouge, Carbenet, Carbonet, Carbouet, Carmene, Carmenet, Carmenet Grand, Carne Fran, Couahort, Crouchen Negre, Crouchen Noir, Fer Servadou, Fer Servandou, Gamput, Gro Kaberne, Gro Vidyur, Gro Vidyuz, Gros Bouchet, Gros Bouschet, Gros Caberne, Gros Cabernet, Gros Vidure, Gros Vidyuz, Grosse Vidure, Hartling, Kaberne, Kaberne Fran, Kaberne Frank, Kabernet Frank Breton, Karmene, Messanges, Messanges Rouge, Morenoa Veron Bouchy, Noir Dur, Petit Fer, Petit Viodure, Petite Vidure, Petite Vignedure, Plan Des Sables, Plant Breton, Plant De L'Abbe Breton, Qro Kaberne, Qro Vidyuz, Sable Rouge, Trouchet, Trouchet Noir, Tsapournako, Verdejilla Tinto, Veron, Veron Bouchy, Veronais, Vidure, Vuidure.","France, Loire Valley"
Cabernet Gernischt,"Carmenere, Bordo, Bouton Blanc, Caberne Karmener, Cabernella, Cabernelle, Cabernet, Cabernet Carmenere, Cabernet Cosmo, Cabernet Gernicht, Cabernet Gernischet, Cabernet Gerniseht, Cabernet Grande, Cabernet Grosso, Cabernet Italico, Cabernet Shelongzhu, Carbonet, Carbouet, Caremenelle, Carmenea, Carmenegre, Carmenelle, Carmeneyre, Gran Vidyur, Grand Carmenet, Grand Vidure, Grande Vidure, Grande Vuidure, Grosse Vidure, Kaberne, Kaberne Karmener, Kabernel, Karmene, Karmensel, Uva Francesca.",France
Cabernet Jura,Valentin Blattner,Switzerland
Cabernet Mitos,Weinsberg,"Germany, Württemberg (wine region)"
Cabernet Moravia [cs],NA,Czech Republic
Cabernet Pfeffer,Pfeffer Cabernet,United States
Cabernet Sauvignon,"Bidure, Bordaoux, Bordeaux, Bordo, Bouche, Bouchet, Bouchet Sauvignon, Bourdeos Tinto, Bouschet Sauvignon, Breton, Burdeos Tinto, Cabarnet Sauvignon, Caberne, Caberne Sovinion, Cabernet Petit, Cabernet Piccolo, Cabernet Sauvignon Black, Cabernet Sauvignon Blauer, Cabernet Sauvignon Cl. R5, Cabernet Sauvignon Crni, Cabernet Sauvignon Nero, Cabernet Sauvignon Noir, Cabernet Sauvignon Petit, Carbonet, Carbouet, Carmenet, Castet, Dzanati, Enfin, Epicier Noir, Kaberne Sovinjon, Kaberne Sovinon, Kaberne Sovinyon, Kabernet Suvinjon, Lafet, Lafit, Lafite, Marchoupet, Melkii Chernyi, Menut, Navarre, Petit Bouchet, Petit Bouschet, Petit Cabernet, Petit Cavernet Sauvignon, Petit Vidure, Petit-Bouchet, Petite Parde, Petite Vidure, Sauvignon, Sauvignon Rouge, Sauvignonne, Vaucluse, Veron, Vidure, Vidure Petite, Vidure Sauvignon, Vidure Sauvignonne.",France
Cabernet Severny,"Kaberne Severnyi, Cabernet Severny, Cabernet Severnyi, Cabernet Szevernuej, Kaberne Severnyi",Russia
Cabertin,NA,NA
Caddiu,"Caddeo, Caddiu Nieddu, Caddu, Niedda, Niedda Perda Serra, Perda, Serra.","Italy, Sicily"
Cagnulari,"Graciano, Alicante, Bastardo Nero, Bois Dur, Bordelais, Bovale, Bovale Piccolo, Bovale Piticco, Bovale Sardo, Bovaleddo, Bovaleddu, Bovali Mannu, Bualeddu, Cadelanisca, Cagliunari, Cagniulari, Cagnolari Nero, Cagnonale, Cagnorali Nero, Cagnovali, Cagnovali Nero, Cagnulari, Cagnulari Bastardo, Cagnulari Sardo, Cagnulatu, Calda Reio, Caldareddhu, Caldareddu, Caldarello, Cardanissia, Cardinissia, Cargo Muol, Carrixa, Casca, Cendron, Charge Mulet, Courouillade, Couthurier, Couturier, Drug, Enfarine, Graciana, Graciano 15-5, Graciano Tinto, Gros Negrette, Grosse Negrette, Himrisnky, Jerusano, Juan Ibanez, Karis, Marastel, Maristeddo, Matarou, Materou, Minostello, Minustello, Minustellu, Minustillu, Monastel, Monasteou, Monaster, Monastrel, Monastrell Menudo, Monastrell Verdadero, Monestaou, Monestel, Moraiola Minore, Morastel, Morastell, Morestel, Moristell, Morrastel, Morrastel Tantot, Moura, Mourastel, Mouroustel, Mourrastel, Murastellu, Muristeddo, Muristeddu, Muristellu, Negrette De Montauban, Negrette De Pays, Nieddu Prunizza, Perpignan, Perpignanou Bois Dur, Perpigne, Plant De Ledenon, Tanat Gris, Tannat Bordelais, Tannat Gris, Tinta, Tinta De Fontes, Tinta Do Padre Antonio, Tinta Fontes, Tinta Mencida, Tinta Menuda, Tinta Miuda, Tinta Miuda De Fontes, Tintilho, Tintilla, Tintilla De Rota, Tintillo, Tintillo Alicante, Tinto, Torrentes, Uva Cagnelata, Verdadero, Xeres, Xerez, Zinzillosa.","Spain, Rioja"
Caino Bravo,"Amaral, Amaral Preto, Azal, Azal Preto, Azal Tinto, Azar, Cachon, Cainho Miudo, Caino, Caino Bravo, Caino Tinto, Cainzinho, Sousao, Sousao Galego.",Portugal
Caiño Tinto,"Borracal Azedo, Bagalhal, Bogalhal, Borraco, Borrasao, Bougalhal, Bovvaco, Cachino, Cainho Gordo, Cainho Grande, Cainho Grosso, Caino Del Pais, Caino Gordo, Caino Redondo, Esfarrapa, Esfarrapas, Espadeiro Redondo, Morraca, Murracal, Oil De Chapaud, Olho De Sapo, Tinta Femia, Tinta Femia De Aldan, Tinto Redondo.",Portugal
Calabrese,"Alba De Calabria, Calabrese Cappuciu Nero, Calabrese D'Avola, Calabrese De Calabria, Calabrese Di Noto, Calabrese Dolce, Calabrese Nero, Calabrese Pittatello, Calabrese Pizuto, Calabrese Pizzutello, Calabrese Pizzutello Con La Foglia Rotonda, Calabrese Pizzuto, Calabreser Weiss, Calabria, Calabriai Fekete, Calabrisi D'Avola, Fekete Calabriai, Kalabriai Fekete, Nero D'Avola, Raisin De Calibre Noir, Strugeri De Calabria, Uva De Calabria.",Italy
Calabrese di Montenuovo,"Calabrese Montenuovo, Nero D'Avola, Sangiovese.",Italy
Caladoc,"Caladok, Kaladok.","France, Languedoc"
Calandro,Geilweilerhof,Germany
Calitor Noir,"Anglas, Assadoule Bouvier, Binxeilla, Blavette, Calitor, Canseron, Cargo Miola, Cargo Muou, Catitor, Causeron, Causeroun, Charge Mulet, Col Tor, Colitor, Coulitor, Coytor, Dameron Des Vosges, Foirard, Foirat, Fouiraire, Fouiral, Fouirassan, Garriga, Marounvern, Mouillas, Noeuds-Courts, Nou Courte, Pampoul, Pecoui Touar, Pecoui Tovar, Picpoul De Fronton, Picpoule Sorbier, Piquepoul De Fronton, Pride Of Australia, Qualitor, Ramonen, Rouget De Salins, Rousselin, Rousselin Noir, Rousset, Rouxal, Sang De Boeuf, Saure, Sen Zhan, Siege Noir, Sigotier, Sigoyer, Tentyure Artekskii, Touar","France, Provence wine"
Çalkarası,Çal Karası,Turkey
Callet,NA,Spain
Caloria,NA,"Italy, Tuscany"
Camaraou Noir,"Caino Redondo, Camaralet Noir, Camaran, Camaras, Camarau, Camaraue Rouge, Couxo, Gros Noir, Kamarau, Mehrfarbiger Camarau, Moustardet, Plant Sauvage, Sparse Menue.",France
Camarate,"Camarate Tinto, Bairrada, Caccalho, Cascalho, Casculho, Castelao, Castelao Da Bairrada, Castelao De Nosso, Castelao Do Nosso, Castelao Nacional, Castelao Nosso, Maroto, Morete, Moreto, Moreto De Soure, Moreto Do Douro, Mortagua, Mortagua De Vide Preta, Mouro Negro, Mureto, Negro Mouro, Negru Mouro.",Portugal
Camarese,"Brun Argente, Arzhente, Bakarezo, Bryun, Camarese, Camareze, Camarezo, Cameres Du Gard, Kamaredyu Gard, Kamarez, Madeleine, Vacarese, Vacareze Blanc, Vaccarese, Vaccareso, Vaccareze, Vakarez",France
Campbell Early,"Campbell, Campbell'S Early, Champbell Early, Early Campbell, Island Belle",United States
Canaiolo Nero,"Caccione Nero, Cacciuna Nera, Cagnina, Calabrese, Canaiola, Canaiolo, Canaiolo Borghese, Canaiolo Cascolo, Canaiolo Colore, Canaiolo Grosso, Canaiolo Nero A Raspo Rosso, Canaiolo Nero Comune, Canaiolo Nero Grosso, Canaiolo Nero Minuto, Canaiolo Pratese, Canaiolo Romano, Canaiolo Rosso Piccolo, Canaiolo Toscano, Canaiuola, Canaiuolo, Canajola Lastri, Canajolo, Canajolo Lastri, Canajolo Nero Grosso, Canajolo Piccolo, Canajuola, Canajuolo Nero Comune, Canina, Cannaiola, Cannaiola Di Marta, Cannaiola Macchie Di Marta, Cannajola, Colore, Colore Canino, San Giovese, Tindillaro, Tindilloro, Uva Canaiolo, Uva Canajola, Uva Canajuola, Uva Canina, Uva Colore Canaiola, Uva Dei Cani, Uva Donna, Uva Fosca, Uva Grossa, Uva Marchigiana, Uva Merla, Vitis Vinifera Etrusca.","Italy, Tuscan wine"
Canari Noir,"Balza, Batista, Blanchette Rouge, Blanquette Rouge, Boudales, Bourgogne, Caillaba, Canari, Canaril, Canarill, Carcasses, Cargo Nalt, Cargonalt, Chalosse Noire, Cot A Queue Verte, Cot Vert Du Saumurois, Cotes Vertes, Enfin, Errone De Grolleau, Esquisse Braguette, Folle Noir De La Vienne, Folle Noire, Gamay De Malain, Gamay Malain, Grosse Negrette, Luverdon, Oeil De Chope, Ondane, Ondenc Noir, Pinot Gris, Pinot Gris Mendoza, Saint Helene, Sainte-Helene, Semis Rouge, Ugne Noir, Ugne Noire.",France
Canina Nera,"Canena, Canina, Canina Crossa, Canina Dal Raspo, Canina Di Forli, Canina Di Lugo, Canina Di Ravenna, Canina Picola Lunga, Cannina, Uva Canina.","Italy, Emilia-Romagna"
Cannamela,NA,Italy
Carcajolo Nero,"Parraleta, Bariadorgia, Bastardo, Bombedra, Bomogastro, Bomvedro, Bonifacienco, Bonifazino, Bonvedro, Bunifazinu, Cacagliola, Carcaghjoliu Neru, Carcaghjolu Neru, Carcagiola, Carcajiola, Carcajola Noir, Carcajolo, Carcajolo Nero, Carcajolo Noir, Cargajola, Caricagiola, Espagnin, Espagnin Noir, False Carignan, Lambrusco De Alentejo, Marota, Monvedro, Monvedro (Oeste), Monvedro De Sines, Monvedro Tinto, Morteira, Murteira, Paraletta, Parralada, Parraleta, Parreleta, Pau Ferro, Ribote, Ribote, Salceno Negro, Tinta Caiada, Tinta Da Lameira, Tinta Do Lameiro, Tinta Lameira, Tinta Murteira, Tintorro, Torres D'Algarve.","Italy, Sardinia"
Caricagiola,"Bonifaccenco, Bonifacenco, Bonifacengo, Bonifazina, Bonifazino, Carajolo Noir, Carcaghjolu, Carcagiola, Carcajola, Cargajola, Caricagliola, Carjcagiola, Carricadolza, Garricadolza",Italy
Carignan,"Carignan Noir, Axina De Spagna, Babonenc, Babounenc, Blaue Shopatna, Blaue Sopatna, Blauer Carignan, Blauer Carignant, Boi Dur, Bois De Fer, Bois Dur, Bois Dure, Bovale Grande, Bovale Grande Di Spagna, Bove Duro, Bove Duro Di Spagna, Cafalan, Cagnolaro, Cagnolaro Tinto, Calignan, Carignan Crni, Carignan Frances, Carignan Mouillan, Carignane, Carignane Mouilla, Carignane Noir, Carignane Noire, Carignane Violette, Carignanne, Carignano, Carignano Di Carmignano, Carignena, Carinena, Carinena Mazuela, Carinena Negra, Catalan, Cencibel, Crignane, Crinana, Crujillon, Crusillo, Girard, Girarde, Grenache Du Bois, Grenache Du Bois Dur, Karignan, Karinian, Karinjan, Karinyan, Kek Carignan, Legno Duro, Legno Duro Di Portoferraio, Manuelo Tinto, Manzuela, Marocain, Mataro, Mazuela, Mazuelo, Mollard, Monestel, Mounesteou, Pinot D'Evora, Pinot Evara, Plant D'Espagne, Plant De Ledenon, Pokovec, Pokovez, Roussillonen, Samso, Samso Crusillo, Sanso, Sopatna Blau, Tinto Mazuela, Uva Di Spagna.","Spain, Zaragoza"
Carinena,"Carignan Noir, Axina De Spagna, Babonenc, Babounenc, Blaue Shopatna, Blaue Sopatna, Blauer Carignan, Blauer Carignant, Boi Dur, Bois De Fer, Bois Dur, Bois Dure, Bovale Grande, Bovale Grande Di Spagna, Bove Duro, Bove Duro Di Spagna, Cafalan, Cagnolaro, Cagnolaro Tinto, Calignan, Carignan, Carignan Crni, Carignan Frances, Carignan Mouillan, Carignane, Carignane Mouilla, Carignane Noir, Carignane Noire, Carignane Violette, Carignanne, Carignano, Carignano Di Carmignano, Carignena, Carinena, Carinena Mazuela, Carinena Negra, Catalan, Cencibel, Crignane, Crinana, Crujillon, Crusillo, Girard, Girarde, Grenache Du Bois, Grenache Du Bois Dur, Karignan, Karinian, Karinjan, Karinyan, Kek Carignan, Legno Duro, Legno Duro Di Portoferraio, Manuelo Tinto, Manzuela, Marocain, Mataro, Mazuela, Mazuelo, Mollard, Monestel, Mounesteou, Pinot D'Evora, Pinot Evara, Plant D'Espagne, Plant De Ledenon, Pokovec, Pokovez, Roussillonen, Samso, Samso Crusillo, Sanso, Sopatna Blau, Tinto Mazuela, Uva Di Spagna.",France
Carménère,"Bordo, Bouton Blanc, Caberne Karmener, Cabernella, Cabernelle, Cabernet, Cabernet Carmenere, Cabernet Cosmo, Cabernet Gernicht, Cabernet Gernischet, Cabernet Gernischt, Cabernet Gerniseht, Cabernet Grande, Cabernet Grosso, Cabernet Italico, Cabernet Shelongzhu, Carbonet, Carbouet, Caremenelle, Carmenea, Carmenegre, Carmenelle, Carmeneyre, Gran Vidyur, Grand Carmenet, Grand Vidure, Grande Vidure, Grande Vuidure, Grosse Vidure, Kaberne, Kaberne Karmener, Kabernel, Karmene, Karmensel, Uva Francesca","France, Médoc"
Carmine,NA,United States
Carminoir,NA,Switzerland
Carnelian,NA,"USA, California"
Carrasquin,"Carrasco, Carrasco Negro",Spain
Casavecchia,NA,Italy
Cascade,Seibel,France
Casculho,Cascudo,Portugal
Casetta,"Lambrusco A Foglia Tonda, Lambrusco Casetta, Maranela.",Italy
Castagnara,"Castgnarella, S. Maria, Santa Maria, Santa Maria Nera, Sarnese, Scassacaretta Nera.",Italy
Castelão,"Bastardo Castico, Bastardo Espanhol, Castelana, Castelao Frances, Castelao Real, Casteleao, Castellam, Castellao, Castellao Portugues, Castico, Joao De Periquita, Joao De Santarem, Joao De Santarem Tinto, Joao Mendes, Joao Pinto Mendes, Joao Santarem, Lariao Preto, Mortagua, Mortagua De Vide Branca, Olho De Lebre, Perikvita, Periquita, Piriquita, Piriquito, Pirriquita, Santarem, Santarem Tinto.",Portugal
Castets,"Castet, Engrunat, Gros Machouquet, Gros Verdau, Machoupet, Machouquet, Matioupet, Matiouquet, Nicouleau.","France, Aveyron"
Castiglione,"Alicante Barletta, Castigliono, Castigliono Nero, Mantonico Nero, Marchesana, Sagarese, Zagarese, Zagarese Nero, Zagarolese, Zuccheio Canella, Zucchero E Cannella, Zucchero Et Cannella.",Italy
Catalanesca,"Catalensca Nera, Katalaneska.",Italy
Catanese Nero,"Kaleo, Vespalora, Vesparola","Italy, Sicily"
Cavrara,"Bassanese Dal Peduncolo Rosso, Caprara, Cavarada, Cavarara.",Italy
Centesimino,"Alicante Del Faentino, Sauvignon Rosso, Savignon Rosso.",Italy
Centurian,Centurion,"USA, California"
Cereza,"Ceresa, Ceresina, Cereza Italiana, Cerise, Chereza.",NA
Cesanese,"Cesanese Comune, Bambino, Bombino Nero, Bonvino Nero, Cesanese, Cesanese Ad Acino Grosso, Cesanese Di Affile, Cesanese Velletrano, Cezanese Nero, Ferrigno Nero, Mangiatoria, Nero Ferrigno, Sancinella, Sanginella, Sanguinella, Uva Di Affile.","Italy, Lazio"
César,"Ceear, Ceelar, Celar, Gros Monsieur, Gros Noir, Picargneau, Picargniol, Picargniot, Picarniau, Picorneau, Roemer, Romain, Romano, Roncain.","France, Burgundy wine"
Cevat Kara,"Dzhevat Kara, Cevat Kara, Djevat Kara, Dshevat Kara, Jewath, Polkovnik Kara.",Ukraine
Chambourcin,"Joanneseyve, Chambourcine, J.S., Joannes Seyve, John Saym, Shambursen, Zhoan Seiv.",France
Charbono,"France:
Corbeau, Alcantino, Aleante, Bathiolin, Batiolin, Blaue Gansfuesser, Bonarda, Bourdon Noir, Carbonneau, Charbonneau, Charbono, Corbeau, Corbeau Noir, Cot Merille, Cot Rouge Merille, Cote Rouge, Dolcetto Grosso, Dolutz, Douce Noire, Folle Noire D L'Ariege, Gansfuesser Blaue, Grenoblois, Korbo, Mauvais Noir, Ocanette, Picot Rouge, Plant De Calarin, Plant De Montmelian, Plant De Montmelion, Plant De Savoie, Plant De Turin, Plant Noir, Serbina, Sevilhao, Turca, Turin, Turino.
Italy:
Acqui, Barbirono, Bathiolin, Batialin, Beina, Bignola, Bignona, Bignonia, Bignonina, Bourdon Noir, Cassolo, Charbonneau, Charbono, Chasselas Noir, Cote Rouge Merille, Crete De Coq, Debili Rifosk, Dolcedo Rotstieliger, Dolceto, Dolcetta Nera, Dolcetto A Raspe Verde, Dolcetto A Raspo Rosso, Dolcetto Crni, Dolcetto Nero, Dolcetto Piemontese, Dolchetto, Dolcino Nero, Dolciut, Dolsin, Dolsin Raro, Dolzin, Dolzino, Dosset, Gros Noir De Montelimar, Gros Plant, Maennlicher Refosco, Mauvais Noir, Montelimar, Monteuse, Montmelian, Mosciolino, Nera Dolce, Nibieu, Nibio, Noirin D'Espagne, Nord Du Lot Et Garonne, Ocanette, Orincasca, Ormeasca, Ormeasco, Picot Rouge, Plant De Calarin, Plant De Chapareillan, Plant De Moirans, Plant De Montmelian, Plant De Provence, Plant De Savoie, Plant De Turin, Plant Du Roi, Premasto, Primaticcio, Promotico, Provençal, Ravanellino, Refork, Refork Debeli, Refork Male, Refosk Debeli, Rotstieliger Dolcedo, Savoyard, Turin, Turino, Uva D'Acqui, Uva D'Acquia, Uva Del Monferrato, Uva Di Ovada, Uva Di Roccagrimalda.","France, Italy"
Chancellor,NA,France
Charentsi,NA,Armenia
